2019-05-16 13:46:32.486 [main] INFO  com.zixue.PayServer - No active profile set, falling back to default profiles: default
2019-05-16 13:46:33.982 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2019-05-16 13:46:33.983 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.14
2019-05-16 13:46:34.221 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-05-16 13:46:38.731 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-05-16 13:46:38.731 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-05-16 13:46:38.736 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-05-16 13:46:38.736 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-05-16 13:46:39.118 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-05-16 13:46:39.202 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-05-16 13:46:39.203 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-05-16 13:46:39.271 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-05-16 13:46:39.271 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-05-16 13:46:39.457 [main] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-05-16 13:46:40.073 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2019-05-16 13:46:40.073 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2019-05-16 13:46:40.073 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2019-05-16 13:46:40.073 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2019-05-16 13:46:40.073 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2019-05-16 13:46:40.073 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2019-05-16 13:46:40.073 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2019-05-16 13:46:40.318 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-05-16 13:46:40.319 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-05-16 13:46:40.320 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-05-16 13:46:40.322 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1557985600322 with initial instances count: 0
2019-05-16 13:46:40.342 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1557985600342, current=UP, previous=STARTING]
