2019-05-10 11:15:23.696 [main] INFO  com.zixue.MemberServer - No active profile set, falling back to default profiles: default
2019-05-10 11:15:25.074 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2019-05-10 11:15:25.075 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.14
2019-05-10 11:15:25.289 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-05-10 11:15:29.159 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-05-10 11:15:29.159 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-05-10 11:15:29.162 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-05-10 11:15:29.163 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-05-10 11:15:29.513 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-05-10 11:15:29.546 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-05-10 11:15:29.546 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-05-10 11:15:29.603 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-05-10 11:15:29.603 [main] INFO  com.netflix.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-05-10 11:15:29.741 [main] INFO  com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-05-10 11:15:30.267 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2019-05-10 11:15:30.267 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2019-05-10 11:15:30.267 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2019-05-10 11:15:30.267 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2019-05-10 11:15:30.268 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2019-05-10 11:15:30.268 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2019-05-10 11:15:30.268 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2019-05-10 11:15:30.362 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-05-10 11:15:30.363 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-05-10 11:15:30.364 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-05-10 11:15:30.365 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1557458130365 with initial instances count: 1
2019-05-10 11:15:30.381 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1557458130381, current=UP, previous=STARTING]
2019-05-10 11:15:30.383 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_MEMBER/HD1994:member:9501: registering service...
2019-05-10 11:15:30.408 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_MEMBER/HD1994:member:9501 - registration status: 204
2019-05-10 11:15:30.427 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9501"]
2019-05-10 11:15:30.434 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9501"]
2019-05-10 11:15:30.442 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-05-10 11:15:30.459 [main] INFO  com.zixue.MemberServer - Started MemberServer in 9.179 seconds (JVM running for 10.496)
2019-05-10 11:17:07.494 [RMI TCP Connection(8)-127.0.0.1] WARN  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1557458227494, current=DOWN, previous=UP]
2019-05-10 11:17:07.495 [RMI TCP Connection(8)-127.0.0.1] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
